# retrato — texto das células, na ordem em que aparecem
# removidos: comentários HTML, <script> (csrf), atributos e espaços redundantes

organisation | repository | language | branch | work | issues | state
leds-conectafapes | plataformas-project | not declared | develop | 647 issues has collected work | 647 | observed
leds-conectafapes | processo-leds-sdlc | Python | main | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | produtos-internos-project | not declared | develop | 232 issues has collected work | 232 | observed
leds-conectafapes | profana | HCL | master | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | project-management-system-toy | TypeScript | main | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | reportfy | Python | main | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | sot-template | Makefile | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | test-ai-langchain | JavaScript | master | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | teste-template | C# | main | collected, no issues no work: issues were collected and none were found | 0 | observed
The-Band-Solution | theband | Elixir | main | 179 issues has collected work | 179 | observed
The-Band-Solution | theband-backend | Python | main | 2 issues has collected work | 2 | unreachable since 12 Aug the tool refused the query: Something went wrong while executing your query on 2…
The-Band-Solution | theband-frontend | Vue | main | 3 issues has collected work | 3 | observed
The-Band-Solution | theband-site | HTML | main | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | valida-project | not declared | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | valida-sot | Python | main | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | workshop-whatsapp-agents | Jupyter Notebook | master | collected, no issues no work: issues were collected and none were found | 0 | observed
The-Band-Solution | zeppelin-backend | Python | main | 3 issues has collected work | 3 | observed
The-Band-Solution | zeppelin-frontend | Vue | main | 5 issues has collected work | 5 | observed
The-Band-Solution | zeppelin-site | Astro | main | collected, no issues no work: issues were collected and none were found | 0 | observed
organisation | repository | # | title | type at source | parts at source | promoted to
leds-conectafapes | agentes-planning | 2 | [TASK] Desativar/corrigir o GitHub Issues Bot (generate-report.yml) - falha 100% por cota do Gemini | Bug | 0 | defect
leds-conectafapes | agentes-planning | 3 | [TASK] Migrar workflows utilitários templados (generate-new-tag, notify-discord-version) de ubuntu-latest para self-hosted | Chore | 0 | intended task low
leds-conectafapes | agentes-planning | 4 | [TASK] Atualizar template de workflows para usar self-hosted por padrão em novos repositórios | Chore | 0 | intended task low
leds-conectafapes | agentes-planning | 5 | [TASK] Auditar concorrência de builds Docker em runners self-hosted (replicar fix do leds-agentes-Oraculo) | Chore | 0 | intended task low
leds-conectafapes | agentes-planning | 6 | [TASK] Publicar diretrizes de uso de runners (self-hosted x GitHub-hosted) para novos projetos | Chore | 0 | intended task low
leds-conectafapes | agentes-planning | 7 | Feature: Complete oraculo_events Library | none | 0 | intended task low
leds-conectafapes | agentes-planning | 8 | [E2E] E2E-004: Consumer Group Behavior Validation | none | 0 | intended task low
leds-conectafapes | agentes-planning | 9 | Implement Redis Event Streams | none | 0 | intended task low
leds-conectafapes | agentes-planning | 10 | Enhance UI with Step-by-Step Feedback | none | 0 | intended task low
leds-conectafapes | agentes-planning | 11 | Implement Chat History Persistence | none | 0 | intended task low
leds-conectafapes | agentes-planning | 12 | [E2E] Setup E2E Test Infrastructure - Frontend | none | 0 | intended task low
leds-conectafapes | agentes-planning | 13 | [E2E] E2E-002: Frontend Invoke/Response Flow Validation | none | 0 | intended task low
leds-conectafapes | agentes-planning | 14 | [E2E] E2E-003: Timeout and Error Handling Validation | none | 0 | intended task low
leds-conectafapes | leds-conectafapes-infra | 39 | chore(infra): remove workflow de topologia com GitHub Pages | none | 0 | intended task low
leds-conectafapes | leds-conectafapes-infra | 40 | feat(infra): injeta ORACULO_MCP_SHARED_SECRET nos deployments do Oráculo (US-DT-23a) | none | 0 | intended task low
leds-conectafapes | agentes-project | 1 | [FEATURE] Convesar com o BOT usando audio | Feature | 1 | atomic user story
leds-conectafapes | agentes-project | 2 | [TASK] Subir uma aplicação de VOz no servidor do leds | none | 0 | intended task low
leds-conectafapes | agentes-project | 3 | [TASK] Subir o N8N para o servidor interno do LEDS | none | 0 | intended task low
leds-conectafapes | agentes-project | 4 | [TASK] Implementar lógica de match case para classificação de mensagens de usuários | none | 0 | intended task low
leds-conectafapes | agentes-project | 5 | [TASK] Salvar mensagens de usuários no Postgres e enviar tutorial na primeira interação | none | 0 | intended task low
leds-conectafapes | agentes-project | 6 | [TASK] Utilizar OpenAI Playground para criação de embeddings com file search | none | 0 | intended task low
leds-conectafapes | agentes-project | 7 | [TASK] Melhorar prompt para prevenir prompt injection e garantir segurança nas conversas | none | 0 | intended task low
leds-conectafapes | agentes-project | 8 | [TASK] Criar embeddings via API do Google Drive e salvar no banco Supabase (Postgres) | none | 0 | intended task low
leds-conectafapes | agentes-project | 9 | [TASK] Integração de agentes com WhatsApp e LLMs para respostas automáticas via RAG | none | 0 | intended task low
leds-conectafapes | agentes-project | 10 | [FEATURE] Permitir envio de mensagens por áudio e conversão para texto com resposta via IA | Feature | 0 | atomic user story user story with no parts or tasks
leds-conectafapes | agentes-project | 11 | [FEATURE] Implementar filtro anti-spam para limitar envio de mensagens consecutivas | Feature | 1 | atomic user story
leds-conectafapes | agentes-project | 12 | [FEATURE] Responder questões sobre editais via texto. | none | 5 | atomic user story low
leds-conectafapes | agentes-project | 13 | [FEATURE] Reponder questões de editais via audio. | Feature | 0 | atomic user story user story with no parts or tasks
leds-conectafapes | agentes-project | 14 | [FEATURE] Responder questões sobre editais via audio | Feature | 1 | atomic user story
leds-conectafapes | agentes-project | 15 | [TASK] Estudar os LLMS de audio para verificar a viabilidade | none | 0 | intended task low
leds-conectafapes | agentes-project | 16 | [TASK] Cria a versão inicial da documentação da arquitetura do bot | none | 0 | intended task low
leds-conectafapes | agentes-project | 17 | [FEATURE] Responder sobre o RODs por meio de texto | Feature | 0 | atomic user story user story with no parts or tasks
leds-conectafapes | agentes-project | 18 | [FEATURE] Responder sobre questões dos RODs por meio de audio | Feature | 1 | atomic user story
leds-conectafapes | agentes-project | 19 | [FEATURE] Reponder questões sobre o ROD por meio de imagem | Feature | 1 | atomic user story
leds-conectafapes | agentes-project | 20 | [TASK]Estudar como a LLM responder questões em texto recebendo um audio. | none | 0 | intended task low
leds-conectafapes | agentes-project | 21 | [TASK] Estudar como a LLM vai responder a questões dos RODs por meio de imagem | none | 0 | intended task low
leds-conectafapes | agentes-project | 22 | [FEATURE] POC leitura dos RODs | Feature | 7 | epic composition makes it an epic
leds-conectafapes | agentes-project | 23 | [FEATURE] Criar Wokflow de extração de pdf | Feature | 0 | atomic user story user story with no parts or tasks
leds-conectafapes | agentes-project | 24 | [FEATURE] Criar workflow de extração de imagens | Feature | 0 | atomic user story user story with no parts or tasks
leds-conectafapes | agentes-project | 25 | [FEATURE] Criação de uma interface usando OpenWebUI | Feature | 0 | atomic user story user story with no parts or tasks
leds-conectafapes | agentes-project | 26 | [TASK] Integração do OpenTelemetry ao workflow | none | 0 | intended task low
leds-conectafapes | agentes-project | 27 | [TASK] Configurar número do LEDS no Meta | none | 0 | intended task low
leds-conectafapes | agentes-project | 28 | [TASK] Ajuste da Chatbot Raul para Recebimento e Armazenamento de Feedbacks | none | 0 | intended task low
leds-conectafapes | agentes-project | 29 | [TASK] Correções no Chatbot Raul e Testes de Modelos OpenAI | none | 0 | intended task low
leds-conectafapes | agentes-project | 30 | [TASK] Estudo sobre Prompt Injection e Aplicações na Chatbot Raul | none | 0 | intended task low
leds-conectafapes | agentes-project | 31 | [FEATURE] Interface Open WebUI funcional para extração de PDFs | Feature | 2 | atomic user story
leds-conectafapes | agentes-project | 32 | [FEATURE] Interface Open WebUI funcional para extração imagens | Feature | 2 | atomic user story
leds-conectafapes | agentes-project | 33 | [TASK] Localização do texto extraído de um PDF no Open WebUI | none | 0 | intended task low
leds-conectafapes | agentes-project | 34 | [TASK] Localização da imagem recebida e serializada no Open WebUI | none | 0 | intended task low
leds-conectafapes | agentes-project | 35 | [TASK] Criação da requisição ao n8n com o texto de PDF extraído para uma resposta | none | 0 | intended task low
